id,shop_code_vaccine,shop_name_vaccine,shop_code_lc,shop_name_lc,shop_type,status,effective_from_date,effective_to_date,is_deleted,etl_date,etl_by,primary_checksum,record_checksum
None,58001,VX HCM 580 Nguy?n Duy Trinh,81989,LC HCM 291 Lê V?n Th?nh,VT,TRUE,2/1/2025,2/2/2050,FALSE,5/30/2025,DataBricks,f71f79b56e42d6918fc4f76a09225c17,8fdab0c3e863ebed01d2555aeaed54ee
None,58012,VX HCM 422-424 Cách M?ng Tháng Tám,81480,LC HCM 154 Hòa H?ng,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,fb5f6868c22bfabf768ab827f5d40433,474d7383329461ffa44b306821f7173a
None,58005,VX HCM 203-205-205A ???ng 3/2,81042,LC HCM 256 Cao Th?ng,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,36d57dcc0754b0a753fc31e556ce2080,4456c7bd7d8d0f2c9d95f98441ffcce2
None,58003,VX HNI 244 Minh Khai,80396,LC HNI 244 Minh Khai,VTTTTC,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,8d2d27bb3983bb3db89dfc6e8a2f5304,557a8e173899c06d14e1aaca77e13b0d
None,58120,"VX BNH Lô LK3-08 KDA Nhà ? Phía B?c, Thu?n Thành",81416,"LC BNH Xóm Ba, Mão ?i?n",VT,TRUE,8/29/2024,9/14/2050,FALSE,5/30/2025,DataBricks,1b734016d04796ecd5dba2e28b3b8c6b,f7eacf59d6054fc9902de2eb8518585d
None,58007,VX TNH 68 Qu?c L? 22B,80518,LC TNH 310 Qu?c L? 22B,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,537ef8c2c41670bad3ad7e751678f992,f42b5a30b94fb2cbf967c190d919e4ba
None,58155,"VX BTE ??i L? ??ng Kh?i, Phú Kh??ng",80596,LC BTE 91-93 Nguy?n ?ình Chi?u,VT,TRUE,5/1/2025,5/2/2050,FALSE,5/30/2025,DataBricks,0393b8f9a96a08986552f034285a1d04,9681e08ea8b9a5eea9a03be4a5f60d5c
None,58155,"VX BTE ??i L? ??ng Kh?i, Phú Kh??ng",80098,LC BTE 216 B1 Hoàng Lam,VT,TRUE,5/1/2025,5/2/2050,FALSE,5/30/2025,DataBricks,283dbfd01db851774091b2763319943f,90bcbdc08b40757cf89590b34be87102
None,58005,VX HCM 203-205-205A ???ng 3/2,80015,LC HCM 207 ???ng 3/2,VTTTTC,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,70598b8228356190b8a27325246de7b1,7fea912e0462b258e0a1f526d05ad4af
None,58120,"VX BNH Lô LK3-08 KDA Nhà ? Phía B?c, Thu?n Thành",80983,LC BNH 189 Âu C?,VT,TRUE,8/29/2024,9/14/2050,FALSE,5/30/2025,DataBricks,cbcd4e6c027b5315ccabdb5828c0718c,7d5f94c66d9c56b79b236a1aab6d28c0
None,58009,VX TNH 218 Qu?c L? 22B,81591,"LC TNH Qu?c L? 22B, Hi?p Th?nh",VT,TRUE,7/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,d1c096a596bdebeb89e6a4c1ed709a4a,385d2ea6309b5403e37410a068a2ebb6
None,58002,VX HCM 224A Lê V?n L??ng,81652,LC HCM 93 ???ng S? 15,VT,TRUE,7/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,817787dba257342d59c2f2cda8aad4ec,9a36c4d5476a023995cfa5a5424a0b06
None,58002,VX HCM 224A Lê V?n L??ng,81990,LC HCM 30A Lâm V?n B?n,VT,TRUE,2/1/2025,2/2/2050,FALSE,5/30/2025,DataBricks,c7751a410f6558dd3b5bd42bf931047c,0e8f0bc65dc9d43814f1e718aa88e90a
None,58012,VX HCM 422-424 Cách M?ng Tháng Tám,82047,LC HCM 995 Hoàng Sa,VT,TRUE,2/1/2025,2/2/2050,FALSE,5/30/2025,DataBricks,56cdda3d6efa26d43477591fdab7e863,69a866652a2735a6c38fdb440fa53274
None,58155,"VX BTE ??i L? ??ng Kh?i, Phú Kh??ng",80329,LC BTE 108 ??ng Kh?i,VT,TRUE,5/1/2025,5/2/2050,FALSE,5/30/2025,DataBricks,fe19f2653646e4ab888496d30ddbd446,a4779c8a5ca890408384b489a59d6b68
None,58120,"VX BNH Lô LK3-08 KDA Nhà ? Phía B?c, Thu?n Thành",81584,"LC BNH KP. Th??ng V?, An Bình",VT,TRUE,8/29/2024,9/14/2050,FALSE,5/30/2025,DataBricks,43c89eb5d72473f499b69d706f968102,df97738b29ce3c4f21a0e74667bc2992
None,58002,VX HCM 224A Lê V?n L??ng,80327,LC HCM 201 Lâm V?n B?n,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,067d90c2a83dad8e39a86a0237c1178f,26323d80166f2f7f284911f226742879
None,58012,VX HCM 422-424 Cách M?ng Tháng Tám,80174,LC HCM 797 CMT8,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,10f16e49228dad94a2acce0324b890c9,fe3d6e4b7154d6965df76111c968f74a
None,58002,VX HCM 224A Lê V?n L??ng,81014,LC HCM 621-623 Tr?n Xuân So?n,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,69066c838e1703d89041d29a5616b188,c2dca105831528399b8344690feffc64
None,58005,VX HCM 203-205-205A ???ng 3/2,80758,LC HCM 437 Bà H?t,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,32a2bb8a9b50be47685b9635ea3aef4a,1946df1a0e7d03958151ae3ea15cdefd
None,58001,VX HCM 580 Nguy?n Duy Trinh,80045,LC HCM 580 Nguy?n Duy Trinh,VTTTTC,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,109d2ec812817582b2e63011c65bde7b,159cd1ad1fa81771812e5a610e5256b1
None,58006,VX DNI 15/18A Ph?m V?n Thu?n,80241,LC DNI 24 ?643 Xa L? Hà N?i,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,0f9cb69f3172896665029e76ad01675a,567e187ac6d8a494baa9ba9d493870ff
None,58010,VX TNH 376-378 Lê Du?n,81400,LC TNH 379 ???ng 785,VT,TRUE,8/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,b37aab56a9438331e574509bf06ac99b,f6350307e21b2c9588ec85907ae7ad4e
None,58052,VX HCM 74-76 Tô Ng?c Vân,80449,LC HCM 120B Linh ?ông,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,f59799887a0dfbe356847313a4cb075c,43870ba806301b79cd6881328a3c630f
None,58009,VX TNH 218 Qu?c L? 22B,80632,LC TNH Ô1 Hùng V??ng,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,3c7ed0228f685f9e467badb93e327fc8,e3d295aac62466128cbb1046f364db9f
None,58001,VX HCM 580 Nguy?n Duy Trinh,81127,LC HCM 1009 Nguy?n Duy Trinh,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,ef106f26759234a85b6945c1d52a1081,cb3189d56307ddefb4d739442deed159
None,58010,VX TNH 376-378 Lê Du?n,81915,LC TNH 25 Kà Tum - Tân Hà,VT,TRUE,10/1/2024,10/2/2050,FALSE,5/30/2025,DataBricks,05ac98f567f057f2b865d42ea7923a18,e4ad14d977b42ebbea7559e7186ecba8
None,58155,"VX BTE ??i L? ??ng Kh?i, Phú Kh??ng",80610,LC BTE 162A ?p Phú Chánh,VT,TRUE,5/1/2025,5/2/2050,FALSE,5/30/2025,DataBricks,ae1e57a55c3a20c13a089c8f5c826bee,3fca80d8ce5fb10cf5bd4f65c9ef23b1
None,58120,"VX BNH Lô LK3-08 KDA Nhà ? Phía B?c, Thu?n Thành",80975,LC BNH Qu?c L? 17,VT,TRUE,8/29/2024,9/14/2050,FALSE,5/30/2025,DataBricks,31f455517de1005e5b9baeb196a9bd4b,750de98ac37e778c617b0e8fd69f58b9
None,58009,VX TNH 218 Qu?c L? 22B,80543,LC TNH 247 ???ng 782,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,d8279616d23b149bb985c2d454c8fdfc,981d4e315ad4cb4d58cfa35ded8c03c8
None,58052,VX HCM 74-76 Tô Ng?c Vân,80014,LC HCM 106-108 Tô Ng?c Vân,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,3566d8ee322f4e031876bc53e9b58b4c,3da020abc551a3b4fd8c755cd172afdb
None,58012,VX HCM 422-424 Cách M?ng Tháng Tám,80066,LC HCM 85 Ph?m V?n Hai,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,2d3134a65755f17f0ec96f3fe6b3c79c,da9bd84b4947a0f915f45814d6a8604c
None,58002,VX HCM 224A Lê V?n L??ng,80011,LC HCM 489 Hu?nh T?n Phát,VT,TRUE,12/1/2024,12/2/2050,FALSE,5/30/2025,DataBricks,1b7205d6fee2742701be8cb9ac2657ac,e05b2897387cedc02ccd67713bdd1e22
None,58008,VX BPC 264 Nguy?n Hu?,80440,LC BPC 68 Tr?n H?ng ??o,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,d367c78d8f7301b883b21353bba2a200,87621e5c94c25ff39e0570b16775c6bf
None,58052,VX HCM 74-76 Tô Ng?c Vân,80059,LC HCM 361 Tô Ng?c Vân,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,2904107624e486771a0c3d0c02113138,ee29c334cd4309b509397f08d707ea58
None,58001,VX HCM 580 Nguy?n Duy Trinh,81509,LC HCM 670 Nguy?n Th? ??nh,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,b57b750b66079b9bd5cea6893887778d,842a9c5fc684744c7be5b1dbab3dd866
None,58005,VX HCM 203-205-205A ???ng 3/2,81986,LC HCM 116 V??n Chu?i,VT,TRUE,5/1/2025,5/2/2050,FALSE,5/30/2025,DataBricks,5f19913b76766d583ae8318db6eb51d8,02dd37389c67c8f1e05c1fd454389b57
None,58001,VX HCM 580 Nguy?n Duy Trinh,80010,LC HCM 501-503 Nguy?n Duy Trinh,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,d4c7a2fa2055c74e51b85e4aa96eb50b,76487e63242c3c3730cc196107c9d7d7
None,58008,VX BPC 264 Nguy?n Hu?,80754,LC BPC 262 Nguy?n Hu?,VTTTTC,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,842c52327ad6cad2d74705382db92608,ac2bfb23098358ce03b7dd57fc72208d
None,58005,VX HCM 203-205-205A ???ng 3/2,80041,LC HCM 91 Thành Thái,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,29d160bfc652db8d260d54a4ca524e22,75c80daaa807f5d378731331d3dfd5a9
None,58003,VX HNI 244 Minh Khai,80786,LC HNI 112C-114 Tr??ng ??nh,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,e1932cb1527baa2bd038d9ca68e51da0,b8856fa9326b297f56c04a662e5bf127
None,58009,VX TNH 218 Qu?c L? 22B,80542,LC TNH 101 Qu?c L? 22,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,66db9b0fe8bc0ccd21801dcf3e976a2a,52adcef8dcbc8d2c372cceaaa25dc790
None,58005,VX HCM 203-205-205A ???ng 3/2,81597,LC HCM 91 Ngô Quy?n,VT,TRUE,7/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,2a3180fdfac8ed7df5999ac72a54d453,831322115ab1e2d50b132fa1fc9951e4
None,58003,VX HNI 244 Minh Khai,80885,LC HNI 223 Yên Duyên,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,c7598e22380bd283f78fb77e6a32445c,e644b7e550b4ef6835a107019171ba76
None,58006,VX DNI 15/18A Ph?m V?n Thu?n,80350,LC DNI 125/13A-125/13B Ph?m V?n Thu?n,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,83065f023386c8bfb085e9004b35ae80,82d275d9359194d7048c7e01030a27af
None,58052,VX HCM 74-76 Tô Ng?c Vân,81596,LC HCM 74-76 Tô Ng?c Vân,VTTTTC,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,b86726eea1742940d7a417d3a8cdc632,42f49821bef5fb7eeb6930871045fbf9
None,58005,VX HCM 203-205-205A ???ng 3/2,81186,LC HCM 24A V?nh Vi?n,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,201150a8bf84f2974c760a69858098b7,c17c488cd20ff13bc4e8b7ee51dfec66
None,58007,VX TNH 68 Qu?c L? 22B,81007,"LC TNH Qu?c L? 22B, Tân Phong",VT,TRUE,8/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,bc07c486b62f220bd174d78215beff0b,e494c841407a38ab9987479255f9f2c7
None,58005,VX HCM 203-205-205A ???ng 3/2,80151,LC HCM 174 Nguy?n Thi?n Thu?t,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,c2f5ad6222e65e7787b4e0df8d479a3c,021d7726d85bd24362e7d0e4c53d947a
None,58003,VX HNI 244 Minh Khai,80850,LC HNI 56 Kim Ng?u,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,7e7559e0cddda012476e6e902d346bd5,d452f3fbad50c105c21411a3bb81e07f
None,58003,VX HNI 244 Minh Khai,80149,LC HNI 430 B?ch Mai,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,f52fe9399e5d6031b29e854578b6a1d5,dba94b282b2fb25016d68c575ff750e5
None,58009,VX TNH 218 Qu?c L? 22B,81070,LC TNH Ô2/56 Qu?c L? 22,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,68ff03ab22cf0c6e58353d7932d14e7d,777378424ff5c5fc10eaddaead333687
None,58012,VX HCM 422-424 Cách M?ng Tháng Tám,80120,LC HCM 70 C?u Long,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,ea1bb933b38b79e62b3dc81a8d5fc43b,04e6d82be123af1055a17771ae3350da
None,58005,VX HCM 203-205-205A ???ng 3/2,80423,LC HCM 545 Nguy?n ?ình Chi?u,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,46d8f1eee8925e26c59d43ec05a6492c,81f41e1e8edfcf5dc117038a3feca234
None,58001,VX HCM 580 Nguy?n Duy Trinh,80589,LC HCM 882 Nguy?n Duy Trinh,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,eedd712373643c5ffcb65e24cbe791a9,7cc90b420ca5475b74c628c25c21377a
None,58001,VX HCM 580 Nguy?n Duy Trinh,80451,LC HCM 59 Nguy?n Duy Trinh,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,0e0e0c2a0e9ebdc19205bc79e58ca82a,aaa947d2ec645b155b1e6fee546ece18
None,58155,"VX BTE ??i L? ??ng Kh?i, Phú Kh??ng",80233,LC BTE 235A Tr??ng ??nh,VT,TRUE,5/1/2025,5/2/2050,FALSE,5/30/2025,DataBricks,810c9a516f565a7eee8c8c445d904d63,88d06dd72b224c284d85ff24a798183d
None,58010,VX TNH 376-378 Lê Du?n,80552,LC TNH 471 Lê Du?n,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,97470594fef48e541fa42f06b0e04629,26f713f947edea2906967361fddb467c
None,58008,VX BPC 264 Nguy?n Hu?,80772,LC BPC 196 Qu?c L? 13,VT,TRUE,4/1/2025,4/2/2050,FALSE,5/30/2025,DataBricks,05211cd3f97405a664149e337f63619f,7337da3cd58ac67a1d8182005d779851
None,58012,VX HCM 422-424 Cách M?ng Tháng Tám,81286,LC HCM 222 Lê V?n S?,VT,TRUE,5/1/2025,5/2/2050,FALSE,5/30/2025,DataBricks,33d7569059e1d0675736a9aff5a56e25,56260f0afc0b08bd9a301da18a31698d
None,58010,VX TNH 376-378 Lê Du?n,80935,LC TNH 02 ???ng ?T795,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,ce9bafd2945ab2b71db41c06fc56e6b0,00d3df12275add4a713e240d09c073d2
None,58006,VX DNI 15/18A Ph?m V?n Thu?n,80028,LC DNI 786 Ph?m V?n Thu?n,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,de58a936971dc27c7235984dbc812287,f223bef89574a83c4b25faa4c48295d2
None,58009,VX TNH 218 Qu?c L? 22B,80915,LC TNH Ô1 Qu?c L? 22,VTTTTC,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,9a9c7666f500422ad9f3a502cf63dd9f,5be3e32c9f6fa7a60805847fc1628f2a
None,58006,VX DNI 15/18A Ph?m V?n Thu?n,81644,LC DNI 39 Bùi V?n Hòa,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,5de1935ad3e2f4486ba33a9ee1d517ed,dc5fe9b63914ae5c926c79c9f9de481c
None,58012,VX HCM 422-424 Cách M?ng Tháng Tám,80007,LC HCM 422-424 CMT8,VTTTTC,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,28d605ffc4ed6a5dbdd772634e2f312e,93a94d2101d655f3df075facb8a4c4c3
None,58155,"VX BTE ??i L? ??ng Kh?i, Phú Kh??ng",80443,LC BTE 81C Khu ph? 3,VT,TRUE,5/1/2025,5/2/2050,FALSE,5/30/2025,DataBricks,5c5c44e320bd4f032b81ded24a552118,f55247656a9ac31374da3de0ddfff082
None,58007,VX TNH 68 Qu?c L? 22B,81477,LC TNH 68 Qu?c L? 22B,VTTTTC,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,bfc0f6cbbd84c4596d4f0c953dd23784,4fd9a7b4aa2d1d34da01c345eb068471
None,58006,VX DNI 15/18A Ph?m V?n Thu?n,80519,LC DNI 9 V? H?ng Phô,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,803a67cbd97d5677d241fa33a2d9c141,ad31ed41b9cac731e23069224ded16ad
None,58120,"VX BNH Lô LK3-08 KDA Nhà ? Phía B?c, Thu?n Thành",82182,"LC BNH Ngã T? Xóm Ngoài, ??i Bái",VT,TRUE,6/10/2025,6/11/2050,FALSE,6/11/2025,DataBricks,8527f4dad5f43ac6ad2777ae13a69cc6,965d2a6d49a4e3e16d726fa08497bc98
None,58188,"VX VPC TDP L?ng Th??ng, Tam H?ng",81498,"LC VPC Thôn G?nh ?á, Trung Kiên",VT,TRUE,6/28/2025,6/29/2050,FALSE,6/29/2025,DataBricks,1f44c578fcabf9ac7410088b97f924ca,f947502927192529909975cb676d0f9b
None,58188,"VX VPC TDP L?ng Th??ng, Tam H?ng",80889,LC VPC 92-94 D??ng T?nh,VT,TRUE,6/28/2025,6/29/2050,FALSE,6/29/2025,DataBricks,91a5902fce47483b0772473b901faddf,7b35a542a1f3605d89ca9faa27a52937
None,58188,"VX VPC TDP L?ng Th??ng, Tam H?ng",82120,"LC VPC Thôn Nh?t Chiêu 4, Liên Châu",VT,TRUE,6/28/2025,6/29/2050,FALSE,6/29/2025,DataBricks,7a65683c2d4d1cff4096deb970396c0b,8ff3ce4449dcdb29008876d925490e30
None,58188,"VX VPC TDP L?ng Th??ng, Tam H?ng",81788,"LC VPC TDP Phù L?u, Tam H?ng",VT,TRUE,6/28/2025,6/29/2050,FALSE,6/29/2025,DataBricks,9d9103653f824bed5ee0da69598e76bd,973f38312268cc36d6752b5535427057
None,58188,"VX VPC TDP L?ng Th??ng, Tam H?ng",81741,LC VPC 95 Ph? L?,VT,TRUE,6/28/2025,6/29/2050,FALSE,6/29/2025,DataBricks,1fc5da07c6ff34f2f0f9ecc9c3e7407e,0329d3308f60ee4ecc1274b8a4171c32
None,58004,VX HNI 129 L?c Long Quân,82063,LC HNI 4 Ngõ 6 V?nh Phúc,VT,TRUE,4/1/2025,4/2/2050,FALSE,7/2/2025,DataBricks,bc2047facb759c4020703a8f089a6914,9db1406ed9f85c337fbdebfccd130521
None,58004,VX HNI 129 L?c Long Quân,80173,LC HNI 363 ??i C?n,VT,TRUE,6/1/2024,6/2/2050,FALSE,7/3/2025,DataBricks,530bc4eba36adf67636ee929ba691e32,9c099ed324cd94078c51a6c273cadaee
None,58004,VX HNI 129 L?c Long Quân,80334,LC HNI 251V Th?y Khuê,VT,TRUE,6/1/2024,6/2/2050,FALSE,7/3/2025,DataBricks,38131b5bb56bb5c467a73b1179f5f3ce,1889b4c01e80db68f3161d12cc9d4579
None,58004,VX HNI 129 L?c Long Quân,80791,LC HNI 587 Th?y Khuê,VT,TRUE,6/1/2024,6/2/2050,FALSE,7/3/2025,DataBricks,01ce4b7bdc4f79a32b377262e8b2cf1b,a7ecf06002240e60e6ffa29816f9a4f0
None,58004,VX HNI 129 L?c Long Quân,80063,LC HNI 637 Hoàng Hoa Thám,VT,TRUE,6/1/2024,6/2/2050,FALSE,7/3/2025,DataBricks,0710daf6e55a16691368b9c3f1554897,a7fa54cffc3a1f508bf0b0a494325555
None,58004,VX HNI 129 L?c Long Quân,81683,LC HNI 285 Quan Hoa,VT,TRUE,8/1/2024,8/2/2050,FALSE,7/3/2025,DataBricks,a1fe76583270cf556dd44570997ec5f2,9ef07f9a6926d6a6be45e19c57dc3cac
None,58004,VX HNI 137 L?c Long Quân,80363,LC HNI 129 L?c Long Quân,VT,TRUE,6/1/2024,6/2/2050,FALSE,7/13/2025,DataBricks,18ef69df7eb064ce5023babfc776c259,f406328fc044902bc3749fa964fe8ca0
None,58003,VX HNI 244 Minh Khai,81673,LC HNI 70 Phúc Tân,VT,TRUE,8/1/2025,8/2/2050,FALSE,7/30/2025,DataBricks,10e1412bc1ef7b54e5572f9da5263da1,3c28edc6d8143bb0d3a648ecc33a8432
None,58003,VX HNI 244 Minh Khai,80452,LC HNI 70 Lê V?n H?u,VT,TRUE,8/1/2025,8/2/2050,FALSE,7/30/2025,DataBricks,7dbe6db37a666e27ae555a7114054851,b8c3270a42ba415c7b109fbe75fa62c9
None,58003,VX HNI 244 Minh Khai,80819,LC HNI 38 Hàm T? Quan,VT,TRUE,8/1/2025,8/2/2050,FALSE,7/30/2025,DataBricks,67aa01a2a5a3b4b509363ed16012d048,f55d87668c2e90bfaffd046aa75cde94
None,58003,VX HNI 244 Minh Khai,80852,LC HNI 95 Ch??ng D??ng ??,VT,TRUE,8/1/2025,8/2/2050,FALSE,7/30/2025,DataBricks,0a8a4a9a11125bf317abc73d9e7b2968,bbbe453656ec1b014462565c71e9c536
None,58003,VX HNI 244 Minh Khai,80208,LC HNI 161 Mai H?c ??,VT,TRUE,8/1/2025,8/2/2050,FALSE,7/30/2025,DataBricks,abb2d9f62ca55feead7d1d640e1bd15c,ec45ea6db78f6285169817ff9931aa53
None,58194,"VX HNI SH0104-SH0204, Toà Park Hill 7, Times City",80347,"LC HNI T? 10, 126 V?nh H?ng",VT,TRUE,8/1/2025,8/2/2050,FALSE,7/31/2025,DataBricks,8a37e5158fb8c056ae02f6385fdc5039,3e4210872fa9276139ae13dbdd9214b9
None,58194,"VX HNI SH0104-SH0204, Toà Park Hill 7, Times City",80340,LC HNI 836-838 Minh Khai,VT,TRUE,8/1/2025,8/2/2050,FALSE,7/31/2025,DataBricks,5e3e07f7c98dfb7f795926a8af98e36a,c001acee3feed3840ffb89863239b5ad
